2 , 21 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.009341 , 2.69413e-05 , 0.00911498 , 0.018486
2 , 22 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00939798 , 2.69413e-05 , 0.00982904 , 0.019258
2 , 23 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00935006 , 3.09944e-05 , 0.00972295 , 0.0191081
2 , 24 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00973392 , 2.59876e-05 , 0.00982785 , 0.019592
2 , 25 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00989294 , 2.69413e-05 , 0.00994611 , 0.0198691
2 , 26 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00938511 , 2.47955e-05 , 0.00952911 , 0.0189428
2 , 27 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00981498 , 2.71797e-05 , 0.0102389 , 0.0200839
2 , 28 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0101099 , 2.7895e-05 , 0.010149 , 0.0202901
2 , 29 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0104392 , 2.69413e-05 , 0.00982308 , 0.020293
2 , 30 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0100539 , 2.69413e-05 , 0.00943303 , 0.0195181
2 , 31 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0100021 , 2.59876e-05 , 0.00954986 , 0.0195832
2 , 32 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.010262 , 2.81334e-05 , 0.0101199 , 0.0204129
2 , 1 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00934505 , 2.5034e-05 , 0.00988603 , 0.0192609
2 , 2 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00869107 , 3.40939e-05 , 0.009691 , 0.018419
2 , 3 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.009655 , 2.59876e-05 , 0.00939202 , 0.019078
2 , 4 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00917792 , 2.59876e-05 , 0.00900817 , 0.0182161
2 , 5 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00883794 , 2.59876e-05 , 0.00925303 , 0.018121
2 , 6 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00841784 , 2.59876e-05 , 0.00899601 , 0.0174441
2 , 7 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00964689 , 2.5034e-05 , 0.00942707 , 0.0191021
2 , 8 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00939894 , 2.59876e-05 , 0.00972986 , 0.0191579
2 , 9 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00903988 , 2.69413e-05 , 0.00983 , 0.0188999
2 , 10 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00935316 , 2.59876e-05 , 0.00911903 , 0.018502
2 , 11 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00901508 , 2.5034e-05 , 0.00982785 , 0.018873
2 , 12 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00973821 , 2.59876e-05 , 0.00998783 , 0.0197558
2 , 13 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00996399 , 2.59876e-05 , 0.00949597 , 0.019491
2 , 14 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00947213 , 2.59876e-05 , 0.00912595 , 0.0186291
2 , 15 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00952005 , 2.69413e-05 , 0.00985503 , 0.0194061
2 , 16 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00911903 , 3.09944e-05 , 0.009341 , 0.0184939
2 , 17 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00982809 , 2.69413e-05 , 0.00937295 , 0.0192299
2 , 18 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00954318 , 2.69413e-05 , 0.00963092 , 0.0192049
2 , 19 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.010334 , 2.88486e-05 , 0.00929999 , 0.0196669
2 , 20 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00955987 , 2.59876e-05 , 0.009516 , 0.0191069
2 , 21 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00958586 , 2.59876e-05 , 0.0104132 , 0.0200281
2 , 22 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0102329 , 2.59876e-05 , 0.00970602 , 0.019968
2 , 23 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.00976205 , 2.69413e-05 , 0.00984907 , 0.0196421
