38 , mapped-by-core-extra , 8196 x 8196 , 5.20883 , 5.96046e-06 , 0.563678 , 5.77252
38 , mapped-by-core-extra , 8196 x 8196 , 3.27213 , 1.09673e-05 , 0.551374 , 3.82352
39 , mapped-by-core-extra , 8196 x 8196 , 7.35834 , 7.15256e-06 , 0.758958 , 8.11731
39 , mapped-by-core-extra , 8196 x 8196 , 5.1791 , 1.00136e-05 , 0.598799 , 5.77792
39 , mapped-by-core-extra , 8196 x 8196 , 3.35596 , 1.00136e-05 , 0.56257 , 3.91854
39 , mapped-by-core-extra , 8196 x 8196 , 5.08501 , 1.21593e-05 , 0.503938 , 5.58897
39 , mapped-by-core-extra , 8196 x 8196 , 6.56018 , 1.28746e-05 , 0.611259 , 7.17146
40 , mapped-by-core-extra , 8196 x 8196 , 5.61847 , 3.8147e-06 , 0.521395 , 6.13987
40 , mapped-by-core-extra , 8196 x 8196 , 3.31875 , 2.86102e-06 , 0.54378 , 3.86254
40 , mapped-by-core-extra , 8196 x 8196 , 4.71159 , 3.09944e-06 , 0.588811 , 5.3004
40 , mapped-by-core-extra , 8196 x 8196 , 3.85273 , 1.38283e-05 , 0.587638 , 4.44039
40 , mapped-by-core-extra , 8196 x 8196 , 6.10829 , 5.96046e-06 , 0.588565 , 6.69687
41 , mapped-by-core-extra , 8196 x 8196 , 6.23696 , 3.09944e-06 , 0.643416 , 6.88038
41 , mapped-by-core-extra , 8196 x 8196 , 3.90064 , 1.19209e-05 , 0.654195 , 4.55486
41 , mapped-by-core-extra , 8196 x 8196 , 3.33045 , 9.05991e-06 , 0.606773 , 3.93724
41 , mapped-by-core-extra , 8196 x 8196 , 5.34844 , 5.96046e-06 , 0.659049 , 6.00749
41 , mapped-by-core-extra , 8196 x 8196 , 4.75658 , 5.00679e-06 , 0.585514 , 5.3421
42 , mapped-by-core-extra , 8196 x 8196 , 4.22543 , 1.00136e-05 , 0.700529 , 4.92598
42 , mapped-by-core-extra , 8196 x 8196 , 4.79876 , 1.09673e-05 , 0.742574 , 5.54135
42 , mapped-by-core-extra , 8196 x 8196 , 6.16463 , 9.77516e-06 , 0.777749 , 6.94239
42 , mapped-by-core-extra , 8196 x 8196 , 5.84125 , 4.05312e-06 , 0.683652 , 6.52491
42 , mapped-by-core-extra , 8196 x 8196 , 7.36358 , 1.50204e-05 , 0.695771 , 8.05937
43 , mapped-by-core-extra , 8196 x 8196 , 6.44332 , 2.86102e-06 , 0.796845 , 7.24017
43 , mapped-by-core-extra , 8196 x 8196 , 5.99914 , 8.10623e-06 , 0.720833 , 6.71998
43 , mapped-by-core-extra , 8196 x 8196 , 4.82396 , 1.5974e-05 , 0.773859 , 5.59784
43 , mapped-by-core-extra , 8196 x 8196 , 5.34759 , 7.15256e-06 , 0.753957 , 6.10156
43 , mapped-by-core-extra , 8196 x 8196 , 4.12829 , 7.86781e-06 , 0.727615 , 4.85592
44 , mapped-by-core-extra , 8196 x 8196 , 6.14304 , 6.91414e-06 , 0.880613 , 7.02367
44 , mapped-by-core-extra , 8196 x 8196 , 3.88193 , 1.09673e-05 , 0.750391 , 4.63234
44 , mapped-by-core-extra , 8196 x 8196 , 5.96646 , 8.82149e-06 , 0.837415 , 6.80389
44 , mapped-by-core-extra , 8196 x 8196 , 5.28806 , 5.00679e-06 , 0.756915 , 6.04498
44 , mapped-by-core-extra , 8196 x 8196 , 5.13387 , 1.3113e-05 , 0.750408 , 5.8843
45 , mapped-by-core-extra , 8196 x 8196 , 5.83922 , 1.21593e-05 , 0.818068 , 6.65731
45 , mapped-by-core-extra , 8196 x 8196 , 5.37885 , 1.21593e-05 , 0.803966 , 6.18283
45 , mapped-by-core-extra , 8196 x 8196 , 6.52484 , 1.00136e-05 , 0.844004 , 7.36885
45 , mapped-by-core-extra , 8196 x 8196 , 5.27161 , 1.00136e-05 , 0.813784 , 6.0854
45 , mapped-by-core-extra , 8196 x 8196 , 5.84344 , 1.19209e-05 , 0.762166 , 6.60562
