36 , 18 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.32482 , 0.00252199 , 0.167824 , 0.49517
36 , 19 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.323762 , 9.10759e-05 , 0.168481 , 0.492337
36 , 20 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.24171 , 9.39369e-05 , 0.162291 , 0.4041
36 , 21 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.220652 , 0.00462604 , 0.14064 , 0.365921
36 , 22 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.228411 , 7.89165e-05 , 0.191572 , 0.420066
36 , 23 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.204704 , 7.70092e-05 , 0.237455 , 0.442239
36 , 24 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.250983 , 7.89165e-05 , 0.205909 , 0.456975
36 , 25 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.230165 , 7.70092e-05 , 0.224288 , 0.454533
36 , 26 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.403003 , 9.29832e-05 , 0.181806 , 0.584906
36 , 27 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.312453 , 0.000103951 , 0.202329 , 0.514892
36 , 28 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.322142 , 8.39233e-05 , 0.224943 , 0.547173
36 , 29 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.321393 , 8.2016e-05 , 0.230427 , 0.551906
36 , 30 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.271165 , 8.60691e-05 , 0.217905 , 0.48916
36 , 31 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.297628 , 9.08375e-05 , 0.219679 , 0.517404
36 , 32 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.294319 , 9.98974e-05 , 0.238195 , 0.532617
36 , 1 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.170567 , 9.41753e-05 , 0.103415 , 0.274081
36 , 2 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0602789 , 8.70228e-05 , 0.034349 , 0.0947201
36 , 3 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0651731 , 8.70228e-05 , 0.0666778 , 0.131941
36 , 4 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.203807 , 9.10759e-05 , 0.0597119 , 0.263613
36 , 5 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.063771 , 9.70364e-05 , 0.074842 , 0.138714
36 , 6 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.108384 , 8.70228e-05 , 0.070385 , 0.178861
36 , 7 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.091599 , 7.98702e-05 , 0.066685 , 0.158368
36 , 8 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.109275 , 9.60827e-05 , 0.107541 , 0.216917
36 , 9 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.301565 , 9.58443e-05 , 0.126703 , 0.428369
36 , 10 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.16895 , 9.5129e-05 , 0.11218 , 0.28123
36 , 11 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.136814 , 8.79765e-05 , 0.115965 , 0.25287
36 , 12 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.162731 , 7.98702e-05 , 0.12372 , 0.286535
36 , 13 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.220544 , 0.0118642 , 0.0924609 , 0.324873
36 , 14 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.117058 , 9.39369e-05 , 0.111415 , 0.22857
36 , 15 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.145699 , 9.39369e-05 , 0.115188 , 0.260985
36 , 16 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.203962 , 0.00241399 , 0.175663 , 0.382043
36 , 17 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.184558 , 0.00477409 , 0.132075 , 0.321411
36 , 18 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.178109 , 8.98838e-05 , 0.147534 , 0.325737
36 , 19 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.250986 , 9.10759e-05 , 0.273684 , 0.524764
36 , 20 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.227745 , 9.20296e-05 , 0.196434 , 0.424275
36 , 21 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.221883 , 9.29832e-05 , 0.19155 , 0.41353
36 , 22 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.225989 , 8.79765e-05 , 0.171598 , 0.397679
36 , 23 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.237475 , 7.9155e-05 , 0.235844 , 0.473401
36 , 24 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.244801 , 8.91685e-05 , 0.196073 , 0.440968
36 , 25 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.255467 , 8.4877e-05 , 0.195593 , 0.45115
36 , 26 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.252007 , 9.17912e-05 , 0.348116 , 0.600221
36 , 27 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.237609 , 7.79629e-05 , 0.245206 , 0.482897
36 , 28 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.264469 , 9.799e-05 , 0.223843 , 0.488415
36 , 29 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.303713 , 8.79765e-05 , 0.319663 , 0.623467
36 , 30 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.317251 , 7.79629e-05 , 0.242722 , 0.560057
